ENG20-00208807-v	wngre:synset-βρέχω-verb-0
ENG20-00307423-a	wngre:synset-προσεκτικός-adjective-0
ENG20-00307524-v	wngre:synset-ανοίγω-verb-0
ENG20-00307756-v	wngre:synset-μακραίνω-verb-0
ENG20-00307944-v	wngre:synset-επιμηκύνω-verb-0
ENG20-00308364-v	wngre:synset-παρατείνω-verb-0
ENG20-00308836-v	wngre:synset-επιμηκύνω-verb-0
ENG20-00309626-n	wngre:synset-μετάγγιση_αίματος-noun-0
ENG20-00309785-v	wngre:synset-φουρνίζω-verb-1
ENG20-00309954-n	wngre:synset-άνοδος-noun-0
ENG20-00310106-a	wngre:synset-απρόσεκτος-adjective-0
ENG20-00310309-v	wngre:synset-σιγοβράζω-verb-1
ENG20-00310530-n	wngre:synset-άνοδος-noun-0
ENG20-00311510-v	wngre:synset-παρασκευάζω_σε_άλμη-verb-1
ENG20-00311823-n	wngre:synset-κατάβαση-noun-1
ENG20-00311861-v	wngre:synset-φρυγανίζω-verb-0
ENG20-00312477-n	wngre:synset-πτώση-noun-0
ENG20-00312547-v	wngre:synset-μαγειρεύω-verb-1
ENG20-00312917-n	wngre:synset-ταλάντευση-noun-0
ENG20-00313095-v	wngre:synset-μαγειρεύω-verb-0
ENG20-00313108-n	wngre:synset-επιστροφή-noun-0
ENG20-00313421-v	wngre:synset-μαγειρεύω_φρικασέ-verb-1
ENG20-00313574-v	wngre:synset-σιγοβράζω-verb-0
ENG20-00313594-n	wngre:synset-γλίστρημα-noun-0
ENG20-00314105-n	wngre:synset-γλίστρημα-noun-0
ENG20-00314283-n	wngre:synset-ρέουσα_κίνηση-noun-0
ENG20-00314724-n	wngre:synset-ξεχείλισμα-noun-0
ENG20-00315035-v	wngre:synset-τηγανίζω-verb-0
ENG20-00315065-n	wngre:synset-βιασύνη-noun-0
ENG20-00316480-v	wngre:synset-ψήνω_στη_σχάρα-verb-1
ENG20-00316498-n	wngre:synset-αλλαγή_θέσης-noun-2
ENG20-00317069-v	wngre:synset-εμποτίζω-verb-0
ENG20-00317689-v	wngre:synset-σουρώνω-verb-0
ENG20-00317835-v	wngre:synset-βράζω-verb-1
ENG20-00317914-n	wngre:synset-αναταραχή-noun-0
ENG20-00318377-n	wngre:synset-αναστάτωση-noun-0
ENG20-00319057-n	wngre:synset-νεύμα-noun-0
ENG20-00319483-n	wngre:synset-γρονθοκόπημα-noun-0
ENG20-00319932-n	wngre:synset-κλίση-noun-1
ENG20-00320747-v	wngre:synset-αλέθω-verb-0
ENG20-00320932-n	wngre:synset-γέρσιμο_κεφαλιού-noun-0
ENG20-00322915-v	wngre:synset-υποδιαιρώ-verb-0
ENG20-00323679-v	wngre:synset-σπάζω-verb-2
ENG20-00324471-v	wngre:synset-διαλύω-verb-1
ENG20-00325012-v	wngre:synset-εισβάλλω-verb-2
ENG20-00325154-v	wngre:synset-σπάζω-verb-4
ENG20-00325676-a	wngre:synset-κεντρικός-adjective-0
ENG20-00326308-n	wngre:synset-περιστροφή-noun-0
ENG20-00327401-v	wngre:synset-κομματιάζω-verb-1
ENG20-00328794-v	wngre:synset-επανεμφανίζομαι-verb-0
ENG20-00329068-v	wngre:synset-προκύπτω-verb-0
ENG20-00329254-v	wngre:synset-γίνεται-verb-0
ENG20-00329664-n	wngre:synset-γύρισμα-noun-0
ENG20-00329851-n	wngre:synset-κούρδισμα-noun-0
ENG20-00330444-n	wngre:synset-αλλαγή_κατεύθυνσης-noun-0
ENG20-00330702-v	wngre:synset-κάνω-verb-35
ENG20-00330830-n	wngre:synset-αναστροφή-noun-0
ENG20-00331019-a	wngre:synset-βέβαιος-adjective-0
ENG20-00331730-a	wngre:synset-αβέβαιος-adjective-0
ENG20-00331771-n	wngre:synset-κίνηση-noun-6
ENG20-00331936-v	wngre:synset-διατίθεμαι-verb-1
ENG20-00332104-v	wngre:synset-εκδηλώνομαι-verb-0
ENG20-00332356-a	wngre:synset-βέβαιος-adjective-0
ENG20-00332458-v	wngre:synset-επαναλαμβάνεται-verb-0
ENG20-00332911-a	wngre:synset-αβέβαιος-adjective-0
ENG20-00333055-v	wngre:synset-γίνομαι-verb-6
ENG20-00333373-v	wngre:synset-εξαϋλώνομαι-verb-0
ENG20-00333470-n	wngre:synset-πλήρης_κίνηση-noun-1
ENG20-00333524-v	wngre:synset-γίνεται-verb-0
ENG20-00333748-n	wngre:synset-αλλαγή_πορείας-noun-0
ENG20-00333892-n	wngre:synset-στροφή-noun-0
ENG20-00334242-n	wngre:synset-εκτροπή-noun-0
ENG20-00334609-v	wngre:synset-άρχομαι-verb-1
ENG20-00335194-n	wngre:synset-αλλαγή_μεγέθους-noun-1
ENG20-00335347-n	wngre:synset-μείωση-noun-1
ENG20-00335425-b	wngre:synset-εξίσου-adverb-0
ENG20-00336040-n	wngre:synset-ελάττωση-noun-0
ENG20-00336294-n	wngre:synset-περικοπή_εξόδων_προϋπολογισμού-noun-0
ENG20-00336392-n	wngre:synset-μισθολογική_μείωση-noun-0
ENG20-00336487-n	wngre:synset-μείωση_κόστους-noun-0
ENG20-00336722-n	wngre:synset-μείωση_δαπανών-noun-0
ENG20-00337587-v	wngre:synset-αρχίζω-verb-2
ENG20-00337686-n	wngre:synset-υποτίμηση-noun-0
ENG20-00338578-n	wngre:synset-ανακούφιση-noun-1
ENG20-00338947-v	wngre:synset-ξαναρχίζω-verb-1
ENG20-00339293-v	wngre:synset-μπορώ-verb-3
ENG20-00340220-v	wngre:synset-τηρώ-verb-0
ENG20-00340466-n	wngre:synset-συμπίεση-noun-1
ENG20-00341127-n	wngre:synset-αποσυμπίεση-noun-0
ENG20-00341640-v	wngre:synset-τελειώνω-verb-1
ENG20-00341684-n	wngre:synset-συντριβή-noun-1
ENG20-00341885-n	wngre:synset-άλεσμα-noun-1
ENG20-00342526-n	wngre:synset-κόντεμα-noun-1
ENG20-00342634-v	wngre:synset-εγκαταλείπω-verb-5
ENG20-00342833-n	wngre:synset-κοπή-noun-2
ENG20-00343479-n	wngre:synset-απόκομμα-noun-1
ENG20-00343622-v	wngre:synset-πεθαίνω-verb-2
ENG20-00343719-n	wngre:synset-κλάδεμα-noun-1
ENG20-00345030-v	wngre:synset-μεταβάλλω_επιφάνεια-verb-0
ENG20-00345661-n	wngre:synset-έκπτωση-noun-0
ENG20-00346103-v	wngre:synset-βλασταίνω-verb-0
ENG20-00346438-v	wngre:synset-βλαστάνω-verb-0
ENG20-00346818-n	wngre:synset-διεύρυνση-noun-1
ENG20-00347202-v	wngre:synset-πεθαίνω-verb-1
ENG20-00347346-n	wngre:synset-εισαγωγή-noun-1
ENG20-00347818-n	wngre:synset-ανοδική_κίνηση-noun-0
ENG20-00348105-v	wngre:synset-ασφυκτιώ-verb-0
ENG20-00348668-v	wngre:synset-αφήνω-verb-0
ENG20-00349077-v	wngre:synset-πνίγομαι-verb-0
ENG20-00349267-n	wngre:synset-διαστολή-noun-0
ENG20-00349757-v	wngre:synset-γεννιέμαι-verb-0
ENG20-00350079-n	wngre:synset-άπλωμα-noun-1
ENG20-00350213-v	wngre:synset-συννεφιάζω-verb-0
ENG20-00350838-n	wngre:synset-διόγκωση-noun-1
ENG20-00351165-v	wngre:synset-διακόπτω-verb-0
ENG20-00351326-n	wngre:synset-επέκταση-noun-0
ENG20-00351534-n	wngre:synset-διεύρυνση-noun-0
ENG20-00351622-v	wngre:synset-διακόπτω-verb-1
ENG20-00351686-a	wngre:synset-αντιπροσωπευτικός-adjective-2
ENG20-00351820-v	wngre:synset-αφήνω-verb-10
ENG20-00351927-v	wngre:synset-σταματάω-verb-0
ENG20-00352055-n	wngre:synset-διάδοση-noun-0
ENG20-00352834-v	wngre:synset-διακόπτω-verb-2
ENG20-00352995-n	wngre:synset-έκταση-noun-2
ENG20-00353638-v	wngre:synset-υγροποιούμαι-verb-0
ENG20-00354216-v	wngre:synset-συμπυκνώνομαι-verb-0
ENG20-00355045-v	wngre:synset-ρευστοποιώ-verb-0
ENG20-00355317-v	wngre:synset-πήζω-verb-0
ENG20-00355474-n	wngre:synset-συσσώρευση-noun-0
ENG20-00355628-v	wngre:synset-αεριοποιούμαι-verb-0
ENG20-00355687-n	wngre:synset-σταδιακή_οικοδόμηση-noun-0
ENG20-00355909-n	wngre:synset-κατάθεση-noun-1
ENG20-00356068-n	wngre:synset-αποθήκευση-noun-1
ENG20-00356412-n	wngre:synset-συμπερίληψη-noun-0
ENG20-00356560-n	wngre:synset-ένταξη-noun-0
ENG20-00356700-n	wngre:synset-προσάρτηση-noun-0
ENG20-00356808-n	wngre:synset-αύξηση-noun-0
ENG20-00357427-v	wngre:synset-χωρίζω-verb-0
ENG20-00357941-v	wngre:synset-δημιουργώ_ομοσπονδία-verb-0
ENG20-00358593-v	wngre:synset-δροσίζω-verb-0
ENG20-00359080-n	wngre:synset-αλλαγή_ακεραιότητας-noun-1
ENG20-00359141-v	wngre:synset-δροσίζω-verb-0
ENG20-00359417-n	wngre:synset-θραύση-noun-0
ENG20-00359947-v	wngre:synset-ζεσταίνω-verb-0
ENG20-00360381-n	wngre:synset-έκρηξη-noun-0
ENG20-00361096-n	wngre:synset-καύση-noun-0
ENG20-00361270-v	wngre:synset-ζεσταίνομαι-verb-0
ENG20-00361488-n	wngre:synset-ανάφλεξη-noun-0
ENG20-00361545-v	wngre:synset-κάνω-verb-37
ENG20-00361837-v	wngre:synset-ζεσταίνομαι-verb-0
ENG20-00361984-v	wngre:synset-προστρίβω-verb-1
ENG20-00362001-n	wngre:synset-συνδυασμός-noun-0
ENG20-00362353-v	wngre:synset-καυτηριάζω-verb-0
ENG20-00362722-v	wngre:synset-παγώνω-verb-0
ENG20-00363608-v	wngre:synset-βράζω-verb-0
ENG20-00363855-v	wngre:synset-παραβράζω-verb-0
ENG20-00364341-v	wngre:synset-παγώνω-verb-0
ENG20-00364552-n	wngre:synset-ένωση-noun-0
ENG20-00364564-v	wngre:synset-διαλύω-verb-0
ENG20-00365423-v	wngre:synset-καίγομαι-verb-0
ENG20-00365718-v	wngre:synset-κατακαίγομαι-verb-0
ENG20-00366082-v	wngre:synset-καίω-verb-0
ENG20-00366226-n	wngre:synset-άνοιγμα-noun-4
ENG20-00366409-v	wngre:synset-απανθρακώνω-verb-0
ENG20-00366442-n	wngre:synset-διαχωρισμός-noun-1
ENG20-00366710-v	wngre:synset-αποτεφρώνομαι-verb-0
ENG20-00366769-n	wngre:synset-διακοπή-noun-0
ENG20-00367013-v	wngre:synset-καίω-verb-1
BILI-00000002	wngre:synset-δερμάτινος-adjective-0
BILI-00000004	wngre:synset-γωνία-noun-0
BILI-00000005	wngre:synset-αρχειακός-adjective-0
BILI-00000008	wngre:synset-μεσημεριανός-adjective-0
BILI-00000010	wngre:synset-αναστενάρια-noun-0
BILI-00000011	wngre:synset-κουζινικός-adjective-0
BILI-00000012	wngre:synset-μαγιάτικος-adjective-0
BILI-00000013	wngre:synset-Δεύτερος_Βαλκανικός_Πόλεμος-noun-0
BILI-00000014	wngre:synset-σιδερένιος-adjective-0
BILI-00000016	wngre:synset-Του_Βασιλείου_Μεγάλου-noun-0
BILI-00000019	wngre:synset-κουμπαριά-noun-1
BILI-00000020	wngre:synset-μπαρμπούτι-noun-0
BILI-00000021	wngre:synset-κέικ-noun-0
BILI-00000023	wngre:synset-πανικοβλημένος-adjective-0
BILI-00000024	wngre:synset-μάρτης-noun-0
BILI-00000025	wngre:synset-συμπέθερος-noun-0
BILI-00000027	wngre:synset-αστυνομικός-adjective-0
BILI-00000029	wngre:synset-ιερομόναχος-noun-0
BILI-00000030	wngre:synset-χοιρινό_κατσαρόλας-noun-0
BILI-00000034	wngre:synset-φερμάνι-noun-0
BILI-00000035	wngre:synset-ατσαλένιος-adjective-0
BILI-00000036	wngre:synset-σταλινισμός-noun-0
BILI-00000037	wngre:synset-Του_Αγίου_Στεφάνου-noun-0
BILI-00000039	wngre:synset-κωπηλατικός-adjective-0
BILI-00000040	wngre:synset-συκαλάκι-noun-0
BILI-00000042	wngre:synset-κηπευτικός-adjective-0
BILI-00000046	wngre:synset-Των_Αγίων_Αποστόλων_Πέτρου_και_Παύλου-noun-0
BILI-00000047	wngre:synset-συνυφάδα-noun-0
BILI-00000050	wngre:synset-κεμπάπ-noun-0
BILI-00000052	wngre:synset-σοφράς-noun-0
BILI-00000054	wngre:synset-ταμπουράς-noun-0
BILI-00000055	wngre:synset-τενεκεδένιος-adjective-0
BILI-00000058	wngre:synset-Του_Αγίου_Δημητρίου-noun-0
BILI-00000060	wngre:synset-βύσσινο-noun-0
BILI-00000062	wngre:synset-πλακί-noun-0
BILI-00000064	wngre:synset-Ψυχοσάββατο-noun-0
BILI-00000065	wngre:synset-άμβωνας-noun-0
BILI-00000066	wngre:synset-γυναικείος-adjective-0
BILI-00000067	wngre:synset-αναφορικός-adjective-0
BILI-00000068	wngre:synset-γιουβέτσι-noun-0
BILI-00000069	wngre:synset-στραγγιστό_γιαούρτι-noun-0
BILI-00000070	wngre:synset-γύρος-noun-0
BILI-00000072	wngre:synset-κεράσι-noun-0
BILI-00000074	wngre:synset-Του_Ιωάννου_Βαπτιστού_του_Προδρόμου-noun-0
BILI-00000075	wngre:synset-κυδώνι-noun-0
BILI-00000076	wngre:synset-ντολμάδες_με_αμπελόφυλλο-noun-0
BILI-00000078	wngre:synset-κεφτές-noun-0
BILI-00000082	wngre:synset-ιπποτικός-adjective-0
BILI-00000083	wngre:synset-των_Αγίων_Θεοδώρων-noun-0
BILI-00000085	wngre:synset-σιμίτι-noun-0
BILI-00000086	wngre:synset-Το_Σάββατο_του_Λαζάρου-noun-0
BILI-00000088	wngre:synset-σουραύλι-noun-0
BILI-00000089	wngre:synset-προπαγανδιστικός-adjective-0
BILI-00000090	wngre:synset-τερλίκι-noun-0
BILI-00000091	wngre:synset-ιμάμ_μπαϊλντί-noun-0
BILI-00000092	wngre:synset-λαχανοντολμάς-noun-0
BILI-00000093	wngre:synset-παππαδιά-noun-0
BILI-00000094	wngre:synset-νύφη-noun-0
BILI-00000095	wngre:synset-συρμάτινος-adjective-0
BILI-00000096	wngre:synset-σιταρένιος-adjective-0
BILI-00000097	wngre:synset-πένθιμος-adjective-0
BILI-00000098	wngre:synset-γιαχνί-noun-0
BILI-00000101	wngre:synset-μουσακάς-noun-0
BILI-00000102	wngre:synset-κομματικός-adjective-0
BILI-00000103	wngre:synset-καουτσουκένιος-adjective-0
BILI-00000104	wngre:synset-συμπεθέρα-noun-0
BILI-00000105	wngre:synset-γυάλινος-adjective-0
BILI-00000107	wngre:synset-Επιφάνια-noun-0
BILI-00000108	wngre:synset-σώγαμπρος-noun-0
BILI-00000113	wngre:synset-Βαλκανιάδα-noun-0
BILI-00000114	wngre:synset-Του_Αγίου_Αντωνίου-noun-0
BILI-00000115	wngre:synset-καπαμάς-noun-0
BILI-00000116	wngre:synset-κουρκούτι-noun-0
BILI-00000117	wngre:synset-καϊμακάμης-noun-0
BILI-00000118	wngre:synset-Τα_Γενέθλια_του_Ιωάννου_του_Βαπτιστή-noun-0
BILI-00000119	wngre:synset-γρανιτένιος-adjective-0
BILI-00000120	wngre:synset-σερμπέτι-noun-0
BILI-00000122	wngre:synset-Του_Προφήτη_Ηλία-noun-0
BILI-00000124	wngre:synset-γύψινος-adjective-0
BILI-00000125	wngre:synset-σις_κεμπάπ-noun-0
BILI-00000128	wngre:synset-φλιτζάνι-noun-0
BILI-00000132	wngre:synset-Του_Ιγνατίου_Θεοφόρου-noun-0
BILI-00000133	wngre:synset-μπουγάτσα-noun-0
BILI-00000137	wngre:synset-παστουρμάς-noun-0
BILI-00000139	wngre:synset-βομβιστικός-adjective-0
BILI-00000140	wngre:synset-κάλαντα-noun-0
